username,total_sessions,total_guesses,total_aciertos,accuracy,accuracy_early,accuracy_first_half,accuracy_second_half,accuracy_decay,tiempo_medio_por_guess,tiempo_medio_por_hint,varianza_tiempos,num_medio_guesses,porcentaje_abandonadas,hint_depth_medio,cultura_general,geografia,actualidad_noticias,cultura_popular,tecnologia_tendencias,uso_wikipedia,habilidad_busqueda,pensamiento_critico,profile_completed_at,cluster,cluster_label
alonso02_rupa,50,59,33,0.559322033898305,1.55,3.0,0.17647058823529413,2.823529411764706,19.457838976360545,7.39668809995238,142.38254011218703,1.18,34.0,4.3,,,,,,,,,,1,Rendimiento Medio | Experimentado | Deserción Moderada
anonymous,476,541,299,0.5526802218114603,1.0320284697508897,1.8225806451612903,0.3883089770354906,1.4342716681257996,30.142845319712475,13.002270959356242,3911.0167117366086,1.1365546218487395,37.18487394957983,2.78781512605042,,,,,,,,,,3,Rendimiento Medio | Muy Experimentado | Deserción Moderada
TrialUser,1,1,1,1.0,0.0,0.0,0.0,0.0,18.875794,2.696542,,1.0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2025-12-15T11:26:35.887315,2,Alto Rendimiento | Moderado | Comprometido
juanmooreno,14,25,11,0.44,0.8181818181818182,1.25,0.2857142857142857,0.9642857142857143,21.18664259027778,7.602967256887753,355.41357749015566,1.7857142857142858,21.428571428571427,5.071428571428571,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,2025-12-17T09:21:38.799798,1,Rendimiento Medio | Experimentado | Deserción Moderada
Laura,1,1,0,0.0,0.0,0.0,0.0,0.0,61.724419,7.715552375,,1.0,100.0,8.0,2.0,1.0,4.0,4.0,2.0,1.0,5.0,5.0,2025-12-17T10:42:18.772132,1,Rendimiento Medio | Experimentado | Deserción Moderada
danielpenap,9,19,6,0.3157894736842105,1.0,1.25,0.06666666666666667,1.1833333333333333,26.6011930875,11.038179179761904,109.29093860802043,2.111111111111111,33.33333333333333,5.444444444444445,4.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,2025-12-17T13:24:33.031504,1,Rendimiento Medio | Experimentado | Deserción Moderada
pmchozas,7,6,1,0.16666666666666666,0.2,0.0,0.3333333333333333,-0.3333333333333333,25.748727000000002,14.162191047619046,122.49849232160898,0.8571428571428571,85.71428571428571,2.7142857142857144,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,2025-12-17T13:41:40.688539,1,Rendimiento Medio | Experimentado | Deserción Moderada
pcalleja,8,13,7,0.5384615384615384,1.4,3.0,0.09090909090909091,2.909090909090909,18.8686693125,6.055469420982142,81.02364301716644,1.625,12.5,5.125,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,2025-12-17T13:54:09.386510,1,Rendimiento Medio | Experimentado | Deserción Moderada
lucia_martin_nunez,2,3,2,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,81.6896175,32.7998495,2329.96929602978,1.5,0.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,5.0,2025-12-17T15:26:50.541295,1,Rendimiento Medio | Experimentado | Deserción Moderada
ralcazar,1,3,1,0.3333333333333333,0.3333333333333333,0.0,0.5,-0.5,34.094275,34.094275,,3.0,0.0,3.0,,,,,,,,,,1,Rendimiento Medio | Experimentado | Deserción Moderada
user22,4,6,3,0.5,3.0,0.0,0.16666666666666666,-0.16666666666666666,28.750757888888888,7.671328341666667,454.51144808344316,1.5,25.0,3.25,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,2025-12-18T11:36:55.033649,1,Rendimiento Medio | Experimentado | Deserción Moderada
pfcdgayo,37,51,36,0.7058823529411765,1.1724137931034482,4.333333333333333,0.4791666666666667,3.8541666666666665,17.48957501388889,10.01134272837838,112.1255504985988,1.3783783783783783,2.7027027027027026,2.3513513513513513,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,2025-12-18T13:20:01.260324,1,Rendimiento Medio | Experimentado | Deserción Moderada
nachintajin,15,20,13,0.65,1.0,1.5,0.5555555555555556,0.9444444444444444,66.01687530952381,28.098816166666666,10497.983540761921,1.3333333333333333,13.333333333333334,2.2666666666666666,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,2025-12-18T13:34:03.047371,1,Rendimiento Medio | Experimentado | Deserción Moderada
jgayoso,22,42,20,0.47619047619047616,1.0,2.25,0.2894736842105263,1.9605263157894737,24.167662423015866,15.588778750000001,165.62804953668686,1.9090909090909092,9.090909090909092,2.909090909090909,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2025-12-18T19:28:54.010101,1,Rendimiento Medio | Experimentado | Deserción Moderada
Sinma,32,25,21,0.84,2.625,0.0,0.24,-0.24,26.773493404761904,34.7772674484375,552.1571355020037,0.78125,34.375,2.6875,3.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,2025-12-19T10:02:01.432905,1,Rendimiento Medio | Experimentado | Deserción Moderada
markos,15,18,13,0.7222222222222222,0.9285714285714286,0.0,0.7222222222222222,-0.7222222222222222,16.70399317857143,15.235110611111114,293.6941788216832,1.2,13.333333333333334,1.3333333333333333,,,,,,,,,,1,Rendimiento Medio | Experimentado | Deserción Moderada
Eneripc,27,32,25,0.78125,1.3157894736842106,6.0,0.43333333333333335,5.566666666666666,31.82498972222222,13.870363838888887,750.2934038265433,1.1851851851851851,7.4074074074074066,2.7777777777777777,,,,,,,,,,1,Rendimiento Medio | Experimentado | Deserción Moderada
jsaenz,29,34,29,0.8529411764705882,1.7058823529411764,0.0,0.4411764705882353,-0.4411764705882353,37.803606764367814,17.944712199425286,1971.8009011168494,1.1724137931034482,0.0,2.4827586206896552,3.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,2025-12-19T10:57:10.727659,1,Rendimiento Medio | Experimentado | Deserción Moderada
Jedet,17,36,16,0.4444444444444444,0.875,0.0,0.47058823529411764,-0.47058823529411764,8.385762413690475,7.8924828011204475,10.509266715247643,2.1176470588235294,5.88235294117647,2.176470588235294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2025-12-19T10:58:13.905293,2,Alto Rendimiento | Moderado | Comprometido
Erans,15,13,11,0.8461538461538461,1.1,0.0,0.46153846153846156,-0.46153846153846156,18.885523318181818,10.300110072222223,75.49064180296628,0.8666666666666667,26.666666666666668,1.9333333333333333,3.0,4.0,2.0,3.0,5.0,2.0,4.0,5.0,2025-12-19T13:39:44.252137,1,Rendimiento Medio | Experimentado | Deserción Moderada
elEspia,3,6,2,0.3333333333333333,0.5,0.0,0.4,-0.4,95.24685649999999,63.49790633333333,6459.544336635389,2.0,33.33333333333333,2.3333333333333335,,,,,,,,,,1,Rendimiento Medio | Experimentado | Deserción Moderada
borbaba,4,11,2,0.18181818181818182,0.3333333333333333,0.0,0.2222222222222222,-0.2222222222222222,284.04163166666666,98.77969658333333,98166.62193184454,2.75,50.0,5.75,,,,,,,,,,0,Bajo Rendimiento | Novato | Deserción Moderada
